# Z  symbol            a[0..4]                                  b[0..4]
 50  Sn  +5.14222074642053695e+00 -2.54945413762576685e+01 +2.57414487548601905e+01 +1.11778227592199603e-01 +2.93647384737742712e-04  +5.27272636474484457e+00 +1.53194959209148296e+00 +1.40257525040087194e+00 +6.11685387263086883e-02 +1.07560815394522292e-03
 51  Sb  +6.24164031831883737e+00 -9.33868724419552194e+01 +9.26332875829884301e+01 +1.03412692221298702e-01 +2.81848426894390676e-04  +4.26984108082687541e+00 +1.39407746140250199e+00 +1.35566854910434498e+00 +5.72667949652199831e-02 +1.03307954282067394e-03
 52  Te  +7.37743301813403018e+00 -1.26025106931628102e+02 +1.24128405004095598e+02 +9.59978371818569765e-02 +2.71072216398882018e-04  +3.46917757783897818e+00 +1.29759810886736604e+00 +1.26771067646066005e+00 +5.37771750179423108e-02 +9.93084577029176808e-04
 53   I  +9.64400666272123175e+00 -1.22924435350112503e+02 +1.18682564816567293e+02 +8.95025947025538948e-02 +2.61276121490475026e-04  +2.72645545366544084e+00 +1.23723425850865998e+00 +1.20062036872249811e+00 +5.06678682285199924e-02 +9.55437883383497273e-04
 54  Xe  +1.55451749674860604e+01 -1.18241027856744594e+02 +1.08009524963196995e+02 +8.36259341992221655e-02 +2.51991862429073923e-04  +2.10637340865492684e+00 +1.20860376129512193e+00 +1.15395270567213992e+00 +4.78189391274824321e-02 +9.19886257592613115e-04
 55  Cs  +4.28708739181692344e+00 +3.23250665422964989e+00 +6.74029533561706251e-01 +6.18908083387697608e-02 +2.35612052952190003e-04  +2.26587870798541502e+01 +2.23797386470064197e+00 +3.68995568664316320e-01 +4.02266575298484419e-02 +8.83761890878035131e-04
 56  Ba  +6.24475187390461528e+00 +2.35172271416388501e+00 +4.74279373222251999e-01 +6.38113874286849875e-02 +2.34651280562792400e-04  +1.51431354190985594e+01 +1.45379000604813990e+00 +3.20835646387801821e-01 +4.04354532094699792e-02 +8.54081131280032659e-04
 57  La  +6.09788179599509661e+00 +2.19495164736675008e+00 +5.48172791960022554e-01 +6.16669573222662568e-02 +2.26807355864714201e-04  +1.24288544315854796e+01 +1.50535992352023507e+00 +3.33738039717124291e-01 +3.87744553499998826e-02 +8.24049884064866978e-04
 58  Ce  +5.79526879647240456e+00 +2.37022664107843317e+00 +4.71398756901114879e-01 +5.74368260587866802e-02 +2.18979489259659295e-04  +1.42801055058256008e+01 +1.35969015719134489e+00 +3.02017349663514123e-01 +3.66436798147007706e-02 +7.95434526518371140e-04
 59  Pr  +5.60406255377525842e+00 +2.35796259561812915e+00 +4.76001098572882420e-01 +5.44123374315247099e-02 +2.11414602205149807e-04  +1.39517490230574701e+01 +1.31239754917439200e+00 +2.94933701192956477e-01 +3.48601542462324068e-02 +7.68261682661809686e-04
 60  Nd  +5.42908391969770321e+00 +2.33687325360880305e+00 +4.83373554104881920e-01 +5.14654964557478972e-02 +2.03776132863761112e-04  +1.36503649427660001e+01 +1.26759841390319905e+00 +2.88610681576929873e-01 +3.31291807446609313e-02 +7.42348483801266289e-04
