# Z  symbol            a[0..4]                                  b[0..4]
 36  Kr  +3.06265410999999999e+00 +2.51554167000000017e+00 -3.79406495000000010e+00 +1.66482754000000011e+00 +1.91618567999999988e-04  +2.71430514000000001e+00 +1.01048688999999997e-01 +7.70984254000000035e-02 +6.27572641999999958e-02 +1.80128959000000000e-03
 37  Rb  +2.94998312000000018e+00 +2.36865143999999983e+00 +5.33557292999999988e-01 +9.17671224999999993e-03 +1.31439937000000010e-04  +2.36452324000000011e+01 +2.70168820999999992e+00 +2.79331384000000016e-01 +1.67730456999999993e-02 +1.57492516999999999e-03
 38  Sr  +4.24123546000000040e+00 +1.76372203000000005e+00 +5.11449641000000010e-01 +7.99146620000000009e-03 +1.01404103999999998e-04  +1.46313701999999992e+01 +2.30565913000000000e+00 +2.59992590000000023e-01 +1.46688401000000003e-02 +1.42565285999999994e-03
 39   Y  +4.07963667000000019e+00 +1.77718448000000007e+00 +4.54365669000000028e-01 +6.74383466999999969e-03 +6.93476373999999941e-05  +1.21811889000000004e+01 +2.10256504999999994e+00 +2.31900531999999993e-01 +1.25152630000000004e-02 +1.25332782999999998e-03
 40  Zr  +3.78915540999999978e+00 +1.88107892999999993e+00 +4.06683055999999987e-01 +5.54879898000000017e-03 +3.38059730000000007e-05  +1.06291452000000000e+01 +2.00279572999999989e+00 +2.06861865000000006e-01 +1.03852441999999993e-02 +1.01181904000000001e-03
 41  Nb  +2.38279067999999983e+00 +2.60897756000000003e+00 +3.59155270000000026e-01 +4.56947008999999960e-03 +7.02836236000000017e-06  +1.11159485000000000e+01 +2.16150731000000018e+00 +1.82983933999999987e-01 +8.62027901000000062e-03 +6.45297028999999964e-04
 42  Mo  +2.09913783000000009e+00 +2.71108418999999978e+00 +3.28274954999999979e-01 +4.48165157999999998e-03 +2.13730025999999986e-05  +1.04829635000000003e+01 +2.03177087999999983e+00 +1.68946796000000010e-01 +8.65910249999999986e-03 +8.33762770000000004e-04
 43  Tc  +2.79881528999999984e+00 +2.31549541000000003e+00 +2.93652185000000010e-01 +4.02150604000000005e-03 +1.56138150000000005e-05  +8.90332583000000000e+00 +1.71108269999999996e+00 +1.53130411999999994e-01 +7.88153716000000032e-03 +7.40173142999999974e-04
 44  Ru  +1.65690194999999996e+00 +2.85263527999999988e+00 +2.63088231999999977e-01 +3.37041652999999983e-03 +4.12430879000000039e-06  +1.00674925999999996e+01 +1.75351695000000007e+00 +1.37543943000000002e-01 +6.74252010999999967e-03 +4.96639162999999999e-04
 45  Rh  +1.51279801999999997e+00 +2.86625875000000008e+00 +2.36023013000000004e-01 +3.07022035000000014e-03 +1.68126144000000015e-11  +9.86189156000000011e+00 +1.62048125000000010e+00 +1.25105170999999987e-01 +6.14914725999999960e-03 +9.89422682999999935e-06
 46  Pd  +3.60039093000000010e+00 +8.29666915000000005e-01 -1.32739830999999997e+00 +6.88881551000000036e-01 +5.89227990999999999e-05  +1.77776690000000004e+00 +4.95025936999999999e-02 +3.41130671999999996e-02 +2.81543713000000015e-02 +9.47258969000000007e-04
 47  Ag  +1.29121145000000004e+00 +2.84558582000000015e+00 +1.95863249999999989e-01 +2.93947825999999997e-03 +1.25866414000000000e-13  +9.84247906000000050e+00 +1.39279636999999989e+00 +1.07650787999999997e-01 +5.81113941999999994e-03 +1.86557662999999991e-06
 48  Cd  +1.92382954000000006e+00 +2.50468312000000015e+00 +1.84867344999999988e-01 +2.91999374000000015e-03 +6.60219444000000063e-11  +7.65878738999999964e+00 +1.23702894000000008e+00 +1.02346883999999999e-01 +5.69170003999999990e-03 +1.42979648000000004e-05
 49  In  +2.76765312999999979e+00 +2.26650494999999985e+00 +1.74960992000000010e-01 +2.88092706999999986e-03 +2.24517617999999999e-14  +8.12777056999999914e+00 +1.11255109999999990e+00 +9.75438809000000046e-02 +5.54450186000000032e-03 +9.99999999999999955e-07
 50  Sn  +3.25546194999999994e+00 +2.00685468999999994e+00 +1.63933261999999996e-01 +2.75010119000000013e-03 +1.58808465999999999e-10  +6.94916585999999992e+00 +9.95652310999999957e-01 +9.19038590999999988e-02 +5.29996883999999963e-03 +1.80018728999999991e-05
 51  Sb  +3.61659794000000012e+00 +1.71941267000000009e+00 +1.56247740999999996e-01 +2.74165141999999995e-03 +2.64384988000000010e-14  +5.73223617000000019e+00 +8.79964532999999993e-01 +8.82975510999999963e-02 +5.19224472000000010e-03 +1.00005673999999995e-06
 52  Te  +3.94850062999999984e+00 +1.40004009000000007e+00 +1.43911544000000002e-01 +2.54773823999999982e-03 +6.56193574000000009e-12  +4.67276308000000018e+00 +7.51392315000000033e-01 +8.23132414000000007e-02 +4.88450736999999999e-03 +5.99827812000000006e-06
 53   I  +4.13656950000000023e+00 +1.18513227999999993e+00 +1.33459577999999995e-01 +2.33864371999999978e-03 +3.20251078000000006e-14  +4.01363785000000028e+00 +6.60767985999999974e-01 +7.68441782000000018e-02 +4.55890381999999976e-03 +1.00155536999999996e-06
 54  Xe  +4.26621860000000019e+00 +1.00502968999999998e+00 +1.24619437999999999e-01 +2.13226598999999989e-03 +3.51183863000000029e-14  +3.50469760000000008e+00 +5.85140757000000011e-01 +7.19818779000000047e-02 +4.23457272000000041e-03 +9.99999999999999955e-07
 55  Cs  +5.19094043000000038e+00 +2.84174514999999994e+00 +1.63566377000000013e-01 +1.74803952999999989e-03 +1.09029195000000004e-10  +1.66434935999999993e+01 +1.19182918000000004e+00 +7.84849821999999975e-02 +3.60343007000000007e-03 +1.34147622000000000e-05
